,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,AVR,,E123508,Y4009978,,,,,,
1,,,,,,,,,,BRKT,,E423222,Y4008214,,,,,,
2,,,,,,,,,,CABLE,,E2223309,Y3027776,,,,,,
3,,,,,,,,,,CABLE,,E122836,Y3019561,,,,,,
4,,,,,,,,,,CABLE,,E122836,Y3019561,,,,,,
5,,,,,,,,,,"PAN.S,SW",,,,,M4X10,,,,
6,,,,,,,,,,"PAN.S,SW,W,N",,,,,M6X20,,,,
7,,,,,,,,,,BAND,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
